transactionID, transDate, custId, storeNumber, amount
136100087,2016-09-01,051285649,1361,85.91
377700095,2016-09-01,051285649,3777,73.36
109400111,2016-09-01,060794278,1094,58.44
136100088,2016-09-01,135127654,1361,5.16
377700096,2016-09-01,135127654,3777,56.3
101300086,2016-09-01,212257394,1013,62.06
377700097,2016-09-01,212257394,3777,30.24
276900089,2016-09-01,447562366,2769,45.56
101300088,2016-09-01,447761341,1013,5.56
101300089,2016-09-01,491848431,1013,2.23
109400114,2016-09-01,491848431,1094,78.1
109400115,2016-09-01,505679300,1094,52.43
136100090,2016-09-02,023611278,1361,45.87
136100091,2016-09-02,060794278,1361,44.63
377700100,2016-09-02,060794278,3777,83.95
101300092,2016-09-02,107591739,1013,86.84
136100092,2016-09-02,107591739,1361,9.19
101300093,2016-09-02,110133488,1013,84.85
276900094,2016-09-02,110133488,2769,74.64
109400119,2016-09-02,144213961,1094,90.6
276900095,2016-09-02,185618838,2769,42.82
276900096,2016-09-02,193973451,2769,10.07
377700101,2016-09-02,193973451,3777,0.77
276900129,2016-09-08,330885271,2769,92.29
377700133,2016-09-08,391031719,3777,1.88
101300131,2016-09-08,473174932,1013,7.66
276900130,2016-09-08,547995183,2769,11.59
136100127,2016-09-08,578148567,1361,55.12
109400166,2016-09-08,619738273,1094,44.89
109400167,2016-09-08,635491325,1094,31.73
101300132,2016-09-08,648088570,1013,60.86
136100128,2016-09-08,648088570,1361,11.31
276900131,2016-09-08,661266929,2769,72.74
101300133,2016-09-08,687959335,1013,39.97
101300134,2016-09-08,687959335,1013,95.62
109400168,2016-09-08,687959335,1094,3.41
109400169,2016-09-08,687959335,1094,80.92
276900132,2016-09-08,752708151,2769,61.32
136100129,2016-09-08,776905552,1361,67.98
109400170,2016-09-08,813944979,1094,11.72
109400171,2016-09-08,817355585,1094,51.89
377700134,2016-09-08,830150428,3777,92.06
101300135,2016-09-09,017707993,1013,98.55
136100130,2016-09-09,017707993,1361,70.96
136100131,2016-09-09,023611278,1361,16.51
276900133,2016-09-09,110133488,2769,96.57
276900134,2016-09-09,135127654,2769,29.34
377700150,2016-09-10,430229878,3777,16.62
101300166,2016-09-14,515428953,1013,67.51
109400218,2016-09-14,561534562,1094,17.22
136100167,2016-09-14,619738273,1361,54.77
276900168,2016-09-14,619738273,2769,69.22
136100168,2016-09-14,648088570,1361,62.94
109400219,2016-09-14,661266929,1094,96.26
101300167,2016-09-14,687959335,1013,32.32
276900169,2016-09-14,687959335,2769,5.74
377700182,2016-09-14,721728168,3777,58.93
136100169,2016-09-15,023611278,1361,6.41
101300168,2016-09-15,031269436,1013,36.97
377700183,2016-09-15,031269436,3777,63.94
136100170,2016-09-15,051285649,1361,33.41
136100171,2016-09-15,060794278,1361,65.01
377700184,2016-09-15,060794278,3777,3.24
377700185,2016-09-15,060794278,3777,63.89
109400236,2016-09-17,299095250,1094,13.09
109400262,2016-09-21,185618838,1094,66.64
276900214,2016-09-21,193973451,2769,22.01
109400263,2016-09-21,213622911,1094,41.19
109400264,2016-09-21,330885271,1094,11.74
276900215,2016-09-21,330885271,2769,93.64
101300217,2016-09-21,376248582,1013,26.79
109400265,2016-09-21,376248582,1094,55.45
101300218,2016-09-21,443543140,1013,80.64
276900237,2016-09-24,310933237,2769,76.15
101300249,2016-09-25,447761341,1013,60.78
276900243,2016-09-25,449340127,2769,3.41
136100267,2016-09-26,876114994,1361,31.54
109400292,2016-09-27,031289643,1094,60.72
109400302,2016-09-28,193973451,1094,73.57
276900266,2016-09-28,218549862,2769,32.07
109400309,2016-09-29,721728168,1094,64.86
101300279,2016-09-29,817355585,1013,40.65
276900277,2016-09-30,017707993,2769,48.93
101300287,2016-09-30,619738273,1013,19.85
101300288,2016-09-30,687959335,1013,60.95
136100290,2016-09-30,721728168,1361,3.67
136100291,2016-09-30,796329812,1361,26.18
109400315,2016-09-30,813944979,1094,69.84
101300289,2016-09-30,817355585,1013,64.59
